"Target1","Target2","Target3","NTC1","NTC2","NTC3"
1892.74698360233,2092.41761215726,1711.61404320507,1934.19541006868,1897.99202363989,2251.86692993664
2338.66895033941,1641.44438950956,2060.65036329555,2189.74904134339,2287.07794985934,2004.04340889659
2462.01737740518,1854.59295933624,2133.62181224658,1897.22999808257,1899.2362797863,2044.9722664101
1902.19882571839,2017.04520312611,2411.88766560119,2135.34468873822,1833.72537597761,2045.33776602154
1818.47121732333,1957.71092090034,2508.49088021347,2124.84686171577,1941.2725534688,2059.40846782371
2151.6930915856,1911.22961483388,2161.1348704127,1733.53744209884,2360.22809191023,1956.54722767888
2602.07666289877,2090.11181826808,1977.9193635342,1757.23378241014,2219.69643459189,2116.0772131806
1955.29428613032,1684.53654205235,1512.50348006688,2118.42618456744,1813.89630842499,2133.61229472504
1910.36536594703,1926.33376398121,2224.19693099025,2216.31863963808,2125.23024888353,2044.8486912448
1952.99125848998,1676.31539175903,1741.79928570408,2055.58296158836,1835.99425075875,2341.067510237
2568.08557840128,2032.61784080682,2032.49418845948,2205.6762396238,1963.82412088232,2096.28000674483
1898.39486596721,2078.81381130131,1974.52347937776,1924.56672622839,2300.19140396872,2367.66957997539
1961.01518960035,2293.97278350916,2015.47110861695,1950.43903257221,1967.32442621278,2081.58673867504
1962.76823516588,1795.77208208235,1960.05225753742,1889.00555349784,2152.93313837169,1942.08616992436
2239.02148170372,2336.39301214054,2179.38065460298,2052.58413642237,1737.77509060746,1668.59521348909
2309.16134748772,1850.80012591767,2087.89541476607,2172.61018642299,1510.26947666212,2111.23267359136
1693.1855792604,1643.98409195274,2181.74437181417,2304.50790579552,2003.47600317955,2132.11082695472
2482.93676495622,1785.67498770832,2150.11389618022,1956.48110453273,2056.10619353983,1915.12658008523
1562.15530525305,2198.86506156988,1802.68380628609,2208.28224349537,1761.0940679551,2119.22503353086
2134.41376985573,2064.21297944643,1752.93224412987,1446.52875223386,2049.87934664355,2051.68784023376
1944.63961881191,1957.64211376259,1827.40095691409,2059.68937858869,2137.21657697516,1857.38916358034
1686.57670788934,2363.32941940653,1628.19466871871,2251.01393538395,1877.1249161047,2177.91631035514
1809.09482357196,1922.0041771284,2028.86499491022,2327.85860012042,1948.20661976532,2346.94383416005
2087.49057514606,2067.31079334289,1798.03986631611,1846.7393409367,1736.03094330817,2175.93530513118
1882.68602022389,2056.76578848134,2050.8574560355,2308.37959348009,2216.27534116477,1946.96252166139
2054.59355071223,2178.38726711847,2171.62180289898,2178.65095355468,2436.04327762607,1882.47033658984
1778.7683549178,1980.52804683354,2281.28919980845,2065.11447008325,2442.59555693477,1883.92338986255
1887.24110222283,2286.83485767812,1866.24148758199,1856.7643961215,2074.10878669994,1745.19687782383
2082.55353765067,2048.82882367544,2214.6420752003,2035.30578607474,1812.61976353288,2294.97215344408
2355.37685084133,1583.73466796285,2088.03887756007,1824.78901003639,1830.54705734192,1882.019697415
1731.42311830323,1764.77222564589,2072.71232544198,1859.4979728267,2041.94668907023,1987.08206902414
1650.07461130685,1717.12858992055,2389.39479219269,1817.5016581257,2091.83071413526,2143.30668376627
1876.52132145007,1878.24498373848,2119.58073690126,2222.94911965233,1573.83832149066,2176.44405416183
1914.27303824453,1932.54272864356,2500.5020178798,2515.89502623348,1972.29975137517,2401.11176250692
2124.10792827623,1600.58956419946,2009.82392897633,2061.07406252406,2073.60844032137,1749.62864105743
1726.44721424012,1767.65454565727,1868.77147283148,1878.41624205072,2183.82574761538,2037.757890807
1637.3281933384,2113.48683131022,1980.27291170425,2193.33767002401,1679.1397219627,1820.38984871091
1833.28448488694,1840.88063885271,1940.05710693842,2095.7321066923,2139.57503424533,1786.50307262164
1722.02498267782,2022.74069786189,2010.97375458511,1976.22149068198,1701.95683964327,1961.06568255455
1796.64673768948,2215.68962237687,1615.45665974382,2030.71230292192,2239.67274241621,2615.30156206876
1713.31194441383,2125.23315579096,2193.26281486342,2337.60610329659,2046.18072942901,1972.91328966901
2028.66837591997,2226.50488958919,2082.12467148795,1938.9012952543,1883.9987109123,1801.74604248325
2204.6456419719,1964.49772965639,2297.1687521926,1965.20578724305,2134.66277018992,2209.55617240438
1918.6163982735,1793.34882105126,1598.84901919951,1936.9165120467,1845.38469862452,1627.0304861638
2098.23882032018,2367.107886606,2159.99466322073,1681.94130634594,1959.04082259258,2098.50788248129
1951.43987519007,2295.92248240491,1820.65381897201,2290.42190614878,2096.03817705621,1817.91054017352
2259.7133570659,2283.75963548908,1547.55621128659,2104.74512758317,2205.53186617886,2384.51655666892
1460.73403463912,2218.80413619694,2089.5922287582,1787.78534031171,2095.26106899798,1941.77508967451
2150.05678514801,1956.85271806321,1933.44425599908,2124.55268655773,1933.38625590628,2061.07575647238
1847.65821435565,2172.08096757084,1959.11467311738,2112.772845506,1714.37152023798,2140.73070065486
2128.63578456482,1796.09051696879,1553.51549068154,1964.35550306768,1632.84142385861,2220.47232034166
2460.29510582521,2143.49369414073,2331.13330102642,1888.00210539985,2048.59094020265,1988.26107782902
1660.88334890124,1891.63695076758,2168.67694845888,2097.34292102239,1980.87221989256,1960.26622212822
1778.86105344321,2033.07842097938,1827.12665990183,2095.41045504229,2177.1498304051,2311.38953286192
2064.9197381421,2333.7590114428,2022.6755997836,2144.99287041464,1590.40520867974,1723.47039365987
2165.75907140115,1518.83826887287,2014.6674520162,1995.87019804464,2017.66920460026,2073.49879859441
1674.03221815959,1975.70791237861,2241.09818119966,1746.59771209454,1845.56534412885,2050.41032403148
2202.34927486997,2248.13129399186,2268.62990605553,1994.40137604935,2118.25506347675,1955.80965253404
1990.34543052301,2134.73509756295,1649.94431927604,1792.85681368531,1991.52693161487,1661.34379978658
2090.67973472693,1949.84633605833,1476.77379822692,2098.6637131189,1850.74896680631,2431.16780414584
2224.96370117077,1661.84939250548,2281.26850307567,1842.55424071974,1902.57058074956,1996.5390352395
2199.65144759981,2157.60906934487,2118.72804458539,1969.58249113108,2184.03053889452,2032.70727340307
2069.10053400242,2206.96503836797,1921.09487205978,1811.2151772349,1927.78085108806,1893.05890442913
1916.92475404287,1970.68261597698,2304.93965151777,1734.73322244105,2138.20172661694,1933.78037171505
1745.69864645186,1897.37677471457,1814.0736884845,2014.48999432347,1829.93977011912,2029.5089205172
2153.9579255661,1853.65283765423,1920.28905008297,1948.53383819457,1823.71323019101,2402.55079050324
1838.83894329606,2020.15566558504,1614.19773622208,2052.9834795426,2443.40301713072,1825.82825790669
2100.69211854851,1809.12633765189,1931.61629066174,1806.26591201713,2622.44842905007,2265.56938114631
2093.6813880988,1943.88803762858,2184.98055524497,1721.6834997807,2094.23795347399,1866.55720274096
1595.65770856475,2264.39726581867,1835.39402722012,1783.67661289375,2264.42589799915,2008.97125619
1675.43915806491,1985.62167779034,1810.91177953718,2282.75648819552,1764.54420222126,2234.43902377832
1753.61730715087,1715.03555864448,2084.98397915563,2300.27082548904,2365.57402432424,2233.98168052063
1983.80731464905,2257.8974792294,1810.75042302936,2211.65978844495,2034.6744441823,1753.62329027899
2085.35340567211,2174.17766966629,1658.10057679664,1989.94055823582,1724.43486697564,2275.79080140681
1772.55476803896,2237.93826919348,2498.99778922057,2046.34014602655,1625.33280477152,2228.53934820536
2142.09450450292,1467.20967608172,1895.98498859279,1608.90655185379,2110.76396039082,2157.07576422829
1902.98497650477,2167.13079171244,2253.62616853226,2534.33862388793,1563.70175237416,1942.70729105478
2026.44423464247,2009.74784357962,2257.4181465437,2076.58209236872,2265.68176707719,1699.59126009413
1637.95100244819,1605.93106153138,1742.26136407378,2125.60382926863,2009.06333974576,2375.04324306186
2465.63562557949,1800.28036978828,2113.71844623159,1881.81373439837,2144.70467590282,2388.21315970711
1855.2412399562,1193.65529394721,2289.65611306842,2296.55673647222,1946.01194384656,2295.47297595996
2125.45546545344,2015.34572979115,2030.32110623157,1967.87510521045,2151.37267403575,2351.38334184153
1699.31565812841,1800.84828977043,2307.90935646159,2037.74045111116,2032.10751658283,2051.01531632984
2390.60894560399,2348.40472305527,1359.08865201648,2351.1633748307,1686.13383214042,2340.26736199057
2196.2463858792,1993.14230068288,2307.33216644858,1850.26856424059,2355.46189020032,2188.96941310252
2329.97023418381,2136.13412369465,2529.93821205916,1831.96952326476,2189.13287700948,1758.56120007436
2027.8530090579,2188.47374280742,1632.69018650418,2210.99727831009,1913.28919719636,1605.43728989145
2093.50492933435,1941.1914967601,1923.6803544223,1826.07771018196,1692.28619542426,2007.53207954766
2179.48775285029,1835.50237355125,2194.35064689034,1941.04236031088,2055.17166310367,1985.91967676597
2123.07532407842,1757.50198262547,2430.57982964173,1911.24383705008,2063.70968867357,1847.42096921693
2249.15666095645,2147.53985718786,2016.76089153732,2091.30141742352,1710.26016803143,2242.5554405819
2066.99443038686,2216.39094293332,2288.0455990321,1972.90459596284,1827.78095139534,2030.76900420754
1516.8754351632,1540.1696016863,1847.6141602991,1540.69195889328,1865.7193316841,1956.57738738764
1996.75732630919,2423.00577296516,1950.74585149245,2182.36131021052,1970.45084528009,1893.55718214696
2137.61732040437,2052.26828223141,1946.18935607638,1842.81553638635,1922.02413099395,2070.81664228801
1865.82255336418,1958.68430026514,2131.94202877032,1959.29157533927,2274.26760937591,1673.36813048252
2054.85872837246,1971.96726695514,1534.87940958967,2144.8918711627,1994.91988751769,2078.99399903565
2000.54910854263,2453.57277572514,1721.46996589037,1985.36482243565,1925.09367752859,1843.68073531334
2038.82480724078,1753.31367019637,1379.35083344982,1911.69815669903,2153.10464982059,2051.72983777719
1791.79762412266,2138.17999517764,2154.03846396211,2429.34949966355,2163.36429209371,1798.31599192221
2100.95950081004,2138.50809695408,1903.43349924479,2097.43418149639,1991.09685920863,1768.00092227443
2043.70850690692,1862.8274864597,1858.2528169733,1401.52256029841,2084.92922966974,1648.38143812919
1806.96294710005,2194.00853500868,2290.32598071524,1928.98544802599,2044.75467783285,2185.90081295195
1838.90660482345,1687.77965601487,2202.4601575012,1523.62124574492,2031.48609946013,2147.54543107854
1944.66191278219,1884.71600859313,2258.73826892902,2045.02815041254,2023.09317500109,2188.01418076233
2132.73548938474,1897.16720136761,2248.07969312209,2012.49743662249,2137.06038666107,1814.27572114621
1899.97629755471,2187.12260532408,2295.09561032306,2144.78877380322,2142.22422423467,2225.66999606999
1980.55285161315,2288.49106787941,2065.14181344069,2340.18478247021,2326.41857627732,1952.64711055182
2069.51105019881,1993.12454320885,2096.85433355201,1795.19254068762,2188.11664533901,2146.53829343929
1771.223989926,1876.62110582828,1765.29059951218,1718.61319147203,2155.80753236265,2029.00276252533
2072.75007139082,1779.12432889496,1605.42884280182,2177.52318715624,1940.55066875693,1573.47652056493
1704.52588353343,2263.52338874925,2154.12100615612,2510.13720664302,2256.48358182524,1988.96785105777
2091.53355421713,1799.62586357273,2666.49392621978,1578.84301449515,2363.38487439277,1774.76373823907
2185.83584922501,2054.40321629827,1888.16242507027,1739.14023284113,2102.2089137343,1775.9148938625
2027.13667698628,1743.17138767417,2074.58229836378,1956.34752927735,2350.97959321053,1811.98901006345
2199.73709556456,2000.41841322685,2341.94673732841,2226.20181680295,1814.18299803087,2230.40542838485
2062.03250803249,1578.45418235035,1953.28560066133,1955.37076484614,1988.85261100549,2067.52332727735
2368.12957690055,1856.55165025403,2031.84682361451,2061.65780387294,2003.04016038417,1943.4533268768
2164.49580774546,2005.86290027072,2213.37376379745,2021.39925739968,2093.69787302048,1819.93220120062
2509.99277129096,2075.54518183432,2210.97922800888,2095.53456941486,2096.30268589828,2049.17551259412
2034.54803768394,1776.5938933719,2122.99431818833,1983.71289896741,2010.08753061176,1747.88903130495
2113.236320601,2267.50935798485,1631.08038833511,1807.44435696262,1760.4940523938,1867.64714435001
1888.62249082211,1990.74355684723,2435.54996508844,2390.65253880566,1909.85568920703,2047.98996188075
1787.07716688293,1645.1818488792,1705.64612117794,2237.36147546622,1911.63478416276,2086.23008924209
2154.01227370784,1566.85376360009,1811.51675352444,1509.06508013381,2044.03745934205,1852.26998962365
2341.47529072767,2113.29071749322,1871.20560686148,2078.4611399122,1882.56588002132,1798.0372754711
1931.16598066658,2043.1181441377,1921.37736340323,2197.0750033176,1895.10247154605,2063.73249811116
1731.72555120962,2162.23999836756,2231.33282259484,2478.82096653273,1667.88231106564,2146.25172767236
2227.11124081651,1535.16665994241,1892.71915921854,1963.49758860421,1953.93754813207,2148.54292594571
1995.61400903137,2412.93421724682,1729.002360618,2038.00675990337,2251.36388244135,2820.98788374368
1876.59240288288,1888.19402811476,2198.58108465447,1818.78542276751,2037.13684548781,2105.17687780063
2060.13502049994,1626.4572348745,1827.50104243303,1798.42945492031,2008.85455824725,1989.76445469159
2331.40469477914,1953.39994800193,1814.55518475818,1952.1677641125,1522.08982703873,1943.58703457177
2756.71324248221,1731.27241856366,2059.9838960951,1992.45000951811,2028.10329762736,2138.66015872867
2308.87475127843,2051.41643997709,1340.57528670901,1707.15471644884,2042.75085813564,2042.96372930961
1711.63377740136,2277.32005177599,2244.25126896889,2214.46462826301,1852.37755615021,1778.15273450646
1563.96033074668,1986.26094041113,1983.23212479176,2299.59712648379,1976.18739229023,1933.31800453953
1864.28601328417,2153.41040735627,1989.69525283621,1847.48366226621,2399.12222697505,1832.80710019852
2181.64344335577,1959.25334285823,2139.82608744313,2148.64750039351,2257.04316025498,2674.16917469255
